	input	category	prediction
0	A cake was blessed by the wolf .	active_to_passive	cake ( 10 ) ; wolf ( 22 ) ; bless ( 33 ) ; theme ( 33 , 10 ) ; recipient ( 33 , 22 )
1	A melon was blessed by a boy .	active_to_passive	melon ( 7 ) ; boy ( 13 ) ; bless ( 18 ) AND theme ( 18 , 7 ) AND recipient ( 18 , 13 )
2	A cake was blessed by Nathan .	active_to_passive	cake ( 10 ) ; Nathan ( 21 ) ; bless ( 33 ) AND theme ( 33 , 10 ) AND agent ( 33 , 21 )
3	The bowl was blessed by a girl .	active_to_passive	* bowl ( 9 ) ; girl ( 14 ) ; bless ( 31 ) AND theme ( 31 , 9 ) AND recipient ( 31 , 14 )
4	The teacher believed that the toy was blessed by Mia .	active_to_passive	* teacher ( 15 ) ; * toy ( 26 ) ; * Mia ( 37 ) ; believe ( 8 ) AND recipient ( 8 , 15 ) AND theme ( 15 , 26 ) AND agent ( 26 , 37 ) AND bless ( 26 , 37 )
5	The radio was blessed .	active_to_passive	radio ( 11 ) ; bless ( 25 ) AND theme ( 25 , 11 )
6	A raisin was blessed by Sofia .	active_to_passive	raisin ( 2 ) ; Sofia ( 18 ) ; bless ( 11 ) AND theme ( 11 , 2 ) AND recipient ( 11 , 18 )
7	A pencil was blessed .	active_to_passive	pencil ( 9 ) ; bless ( 25 ) AND theme ( 25 , 9 )
8	A donut was blessed by a horse .	active_to_passive	donut ( 7 ) ; horse ( 18 ) ; bless ( 28 ) AND theme ( 28 , 7 ) AND agent ( 28 , 18 )
9	A rose was blessed .	active_to_passive	rose ( 26 ) ; bless ( 13 ) AND theme ( 13 , 26 )
10	Emma said that the drink was blessed by a girl .	active_to_passive	Emma ( 10 ) ; drink ( 19 ) ; girl ( 30 ) ; bless ( 24 ) AND theme ( 24 , 19 ) AND agent ( 24 , 30 ) AND say ( 4 ) AND theme ( 4 , 24 )
11	The needle was blessed .	active_to_passive	needle ( 24 ) ; bless ( 30 ) AND theme ( 30 , 24 )
12	The banana was blessed by the dog .	active_to_passive	banana ( 9 ) ; dog ( 26 ) ; bless ( 39 ) AND theme ( 39 , 9 ) AND agent ( 39 , 26 )
13	The cake was blessed by a cat .	active_to_passive	* cake ( 12 ) ; cat ( 19 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 19 )
14	A shoe was blessed .	active_to_passive	shoe ( 11 ) ; bless ( 39 ) AND theme ( 39 , 11 )
15	The box was blessed by Benjamin .	active_to_passive	* box ( 7 ) ; Benjamin ( 19 ) ; bless ( 27 ) AND theme ( 27 , 7 ) AND agent ( 27 , 19 )
16	A melon was blessed by a goose .	active_to_passive	melon ( 11 ) ; goose ( 8 ) ; bless ( 23 ) AND theme ( 23 , 11 ) AND agent ( 23 , 8 )
17	Aria respected that the liver was blessed by Emma .	active_to_passive	Aria ( 20 ) ; liver ( 34 ) ; Emma ( 44 ) ; bless ( 32 ) AND theme ( 32 , 34 ) AND agent ( 32 , 44 ) AND respect ( 22 ) AND recipient ( 22 , 32 )
18	The cake was blessed by Emma .	active_to_passive	cake ( 8 ) ; Emma ( 16 ) ; bless ( 30 ) AND theme ( 30 , 8 ) AND agent ( 30 , 16 )
19	A rose was blessed by a boy .	active_to_passive	rose ( 11 ) ; boy ( 22 ) ; bless ( 33 ) AND theme ( 33 , 11 ) AND agent ( 33 , 22 )
20	Emma believed that a student liked that a chicken valued that the child proved that Jacob believed that a boy believed that a duck burned a cake .	cp_recursion	* Emma ( 1 ) ; * student ( 7 ) ; * chicken ( 15 ) ; * child ( 22 ) ; * Jacob ( 44 ) ; * boy ( 52 ) ; * duck ( 60 ) ; burn ( 59 ) AND theme ( 59 , 26 ) AND agent ( 59 , 60 ) AND believe ( 53 ) AND agent ( 53 , 44 ) AND theme ( 53 , 52 ) AND believe ( 48 ) AND agent ( 48 , 22 ) AND theme ( 48 , 15 ) AND like ( 4 ) AND agent ( 4 , 7 ) AND theme ( 4 , 15 ) AND value ( 12 )
21	A chicken believed that Ellie liked that Olivia expected that a boy admired that a cat valued that Emma appreciated that Liam hoped that Ava said that Isaac liked that a creature declared that the dog liked that a cake was fed to a girl .	cp_recursion	"chicken (6); Ellie (12); Olivia (20); boy (34); cat (43); Emma (51); Liam (59); Ava (67); Isaac (75); creature (89); dog (101); cake (122); girl (141)
believe (8) AND agent (8, 6) AND theme (8, 12) AND 
like (14) AND agent (14, 12) AND theme (14, 20) AND 
expect (28) AND agent (28, 20) AND theme (28, 34) AND 
admire (40) AND agent (40, 34) AND theme (40, 43) AND 
value (50) AND agent ("
22	The pig liked that Levi liked that the dog supported that Sophia wished that the girl imagined that the cat liked that the baby liked that Logan noticed that the president meant that Emma admired that a horse passed the donut on a carpet on a table to Olivia .	cp_recursion	* pig ( 5 ) ; * Levi ( 34 ) ; * dog ( 12 ) ; * Sophia ( 29 ) ; * girl ( 24 ) ; * cat ( 18 ) ; * baby ( 44 ) ; * Logan ( 39 ) ; president ( 9 ) ; * Emma ( 14 ) ; * horse ( 42 ) ; donut ( 49 ) ; carpet ( 51 ) ; table ( 53 ) ; * Olivia ( 55 ) ; like ( 8 ) AND agent ( 8 , 5 ) AND theme ( 8 , 34 ) AND like ( 10 ) AND agent ( 10 , 12 ) AND theme ( 10 , 29 ) AND
23	Henry said that a cat believed that Lucas noticed that the baby respected that a boy liked that Emma hoped that a child liked that Leah admired that a girl was fed a jar in the house by Noah .	cp_recursion	* Henry ( 11 ) ; cat ( 20 ) ; Lucas ( 14 ) ; baby ( 28 ) ; boy ( 39 ) ; Emma ( 45 ) ; child ( 58 ) ; Leah ( 68 ) ; girl ( 77 ) ; jar ( 87 ) ; house ( 92 ) ; Noah ( 97 ) ; say ( 3 ) AND agent ( 3 , 11 ) AND theme ( 3 , 20 ) AND believe ( 20 , 39 ) AND agent ( 20 , 39 ) AND theme ( 39 , 28 ) AND notice ( 28 , 14 ) AND agent ( 28 , 14 ) AND respect ( 28 , 58 )
24	The boy meant that the poet liked that a squirrel proved that William respected that a bird hoped that Hannah hoped that Liam liked that the cake changed .	cp_recursion	* boy ( 3 ) ; * poet ( 15 ) ; * squirrel ( 27 ) ; * William ( 39 ) ; * bird ( 53 ) ; * Hannah ( 65 ) ; * Liam ( 77 ) ; * cake ( 90 ) ; * change ( 104 ) ; mean ( 2 ) AND agent ( 2 , 3 ) AND theme ( 2 , 15 ) AND theme ( 15 , 27 ) AND agent ( 27 , 39 ) AND theme ( 39 , 53 ) AND agent ( 53 , 65 ) AND agent ( 65 , 77 ) AND theme ( 77 , 90 ) AND agent ( 90 , 104 )
25	Emma thought that Olivia noticed that James noticed that the duke liked that Mila meant that Natalie said that a teacher noticed that Noah hoped that Amelia proved that Audrey liked that a donut was painted by a student .	cp_recursion	* Emma ( 7 ) ; * Olivia ( 13 ) ; * James ( 19 ) ; * duke ( 30 ) ; * Mila ( 36 ) ; * Natalie ( 46 ) ; * teacher ( 62 ) ; * Noah ( 51 ) ; * Amelia ( 57 ) ; * Audrey ( 68 ) ; * donut ( 75 ) ; * student ( 81 ) ; think ( 3 ) AND agent ( 3 , 7 ) AND recipient ( 7 , 13 ) AND recipient ( 13 , 19 ) AND theme ( 19 , 30 ) AND theme ( 30 , 36 ) AND recipient ( 36 , 46 ) AND recipient ( 46
26	Emma liked that the lion liked that Abigail said that Sebastian liked that Matthew hoped that the donut burned .	cp_recursion	* Emma ( 2 ) ; * lion ( 12 ) ; * Abigail ( 22 ) ; * Sebastian ( 32 ) ; * Matthew ( 42 ) ; * donut ( 62 ) ; like ( 4 ) AND theme ( 4 , 12 ) AND recipient ( 12 , 8 ) AND like ( 14 ) AND theme ( 14 , 8 ) AND recipient ( 8 , 20 ) AND say ( 24 ) AND theme ( 24 , 20 ) AND agent ( 24 , 22 ) AND like ( 34 ) AND theme ( 34 , 22 ) AND recipient ( 22 , 30 ) AND hope ( 44 ) AND theme ( 44
27	A boy confessed that the professor imagined that Jacob liked that a girl liked that Liam respected that Ava wanted to sleep .	cp_recursion	* boy ( 3 ) ; * professor ( 9 ) ; * Jacob ( 16 ) ; * girl ( 25 ) ; * Liam ( 34 ) ; * Ava ( 43 ) ; confess ( 61 ) AND agent ( 61 , 3 ) AND imagine ( 47 ) AND agent ( 47 , 9 ) AND theme ( 47 , 16 ) AND like ( 55 ) AND agent ( 55 , 25 ) AND theme ( 55 , 16 ) AND respect ( 68 ) AND agent ( 68 , 34 ) AND theme ( 68 , 43 ) AND want ( 75 ) AND agent ( 75 , 43 ) AND theme ( 75 ,
28	Olivia admired that Sophia hoped that Noah expected that the rose was rolled by Emma .	cp_recursion	Olivia ( 3 ) ; Sophia ( 11 ) ; Noah ( 19 ) ; rose ( 31 ) ; Emma ( 41 ) ; roll ( 37 ) AND theme ( 37 , 31 ) AND agent ( 37 , 41 ) AND recipient ( 31 , 19 ) AND recipient ( 19 , 11 ) AND recipient ( 11 , 3 )
29	The scientist declared that William said that Daniel liked that the game was eaten by Aria .	cp_recursion	* scientist ( 18 ) ; William ( 22 ) ; Daniel ( 28 ) ; game ( 44 ) ; Aria ( 51 ) ; declare ( 13 ) AND agent ( 13 , 18 ) AND recipient ( 13 , 22 ) AND agent ( 22 , 28 ) AND theme ( 28 , 44 ) AND recipient ( 44 , 51 ) AND like ( 36 ) AND agent ( 36 , 28 ) AND theme ( 36 , 44 ) AND recipient ( 36 , 51 ) AND eat ( 46 ) AND theme ( 46 , 44 ) AND agent ( 46 , 51 )
30	Olivia admired that a girl liked that Ava said that a bee admired that the citizen noticed that William noticed that Noah hoped that Liam confessed that Emma hoped that Lucas appreciated that the tool froze .	cp_recursion	* Olivia ( 1 ) ; * girl ( 5 ) ; * Ava ( 9 ) ; * bee ( 13 ) ; * citizen ( 21 ) ; * William ( 25 ) ; * Noah ( 29 ) ; * Liam ( 35 ) ; * Emma ( 39 ) ; * Lucas ( 45 ) ; * tool ( 55 ) ; * freeze ( 64 ) ; admire ( 2 ) AND agent ( 2 , 1 ) AND theme ( 2 , 5 ) AND like ( 6 ) AND agent ( 6 , 5 ) AND recipient ( 6 , 9 ) AND say ( 10 ) AND agent ( 10 , 9 ) AND theme (
31	Elizabeth liked that the girl hoped that Liam thought that a mouse said that a teacher liked that Isabella liked that Emma floated .	cp_recursion	* Elizabeth ( 26 ) ; girl ( 10 ) ; Liam ( 14 ) ; mouse ( 22 ) ; teacher ( 30 ) ; Isabella ( 34 ) ; Emma ( 40 ) ; like ( 2 ) AND agent ( 2 , 26 ) AND theme ( 2 , 10 ) AND theme ( 10 , 14 ) AND theme ( 14 , 22 ) AND recipient ( 22 , 30 ) AND theme ( 30 , 34 ) AND theme ( 34 , 40 )
32	A dog confessed that a child said that James said that Victoria hoped that the goose expected that the guard declared that the puppy valued that Benjamin valued that Liam said that the boy believed that a girl noticed that Olivia changed Emma .	cp_recursion	* dog ( 3 ) ; * child ( 7 ) ; * James ( 13 ) ; * Victoria ( 27 ) ; * goose ( 71 ) ; * guard ( 75 ) ; * puppy ( 79 ) ; * Benjamin ( 85 ) ; * Liam ( 95 ) ; * boy ( 107 ) ; * girl ( 127 ) ; * Olivia ( 135 ) ; * Emma ( 143 ) ; confess ( 2 ) AND theme ( 2 , 3 ) AND recipient ( 3 , 7 ) AND say ( 6 ) AND agent ( 6 , 7 ) AND say ( 12 ) AND agent ( 12 , 13 ) AND hope ( 26 )
33	Emma believed that the citizen wished that the chicken thought that a girl liked that a butterfly rolled .	cp_recursion	* Emma ( 10 ) ; * citizen ( 28 ) ; * chicken ( 42 ) ; * girl ( 54 ) ; * butterfly ( 64 ) ; believe ( 4 ) AND agent ( 4 , 10 ) AND theme ( 4 , 28 ) AND believe ( 17 ) AND agent ( 17 , 28 ) AND theme ( 17 , 42 ) AND think ( 34 ) AND agent ( 34 , 42 ) AND theme ( 34 , 54 ) AND roll ( 59 ) AND agent ( 59 , 54 ) AND theme ( 59 , 64 )
34	A cat liked that Luna hoped that Emma liked that Olivia liked that Liam appreciated that the bear floated .	cp_recursion	cat ( 3 ) ; Luna ( 6 ) ; Emma ( 12 ) ; Olivia ( 18 ) ; Liam ( 26 ) ; bear ( 42 ) ; float ( 39 ) AND recipient ( 39 , 42 ) AND agent ( 39 , 26 ) AND theme ( 39 , 3 ) AND recipient ( 33 , 18 ) AND theme ( 33 , 12 ) AND recipient ( 27 , 6 ) AND theme ( 27 , 33 ) AND recipient ( 21 , 3 ) AND theme ( 21 , 27 ) AND recipient ( 15 , 3 ) AND theme ( 15 , 21 )
35	The judge liked that Emma declared that a patient said that Isabella believed that Liam hoped that Olivia liked that the child liked that a girl hoped that Oliver liked that the king was given a cake .	cp_recursion	* judge ( 10 ) ; * Emma ( 4 ) ; * patient ( 27 ) ; * Isabella ( 37 ) ; * Liam ( 46 ) ; * Olivia ( 52 ) ; * child ( 65 ) ; * girl ( 72 ) ; * Oliver ( 80 ) ; * king ( 93 ) ; * cake ( 96 ) ; like ( 16 ) AND theme ( 16 , 4 ) AND agent ( 16 , 10 ) AND declare ( 25 ) AND theme ( 25 , 27 ) AND agent ( 25 , 4 ) AND believe ( 34 ) AND theme ( 34 , 37 ) AND agent ( 34 , 27 ) AND
36	The fly confessed that the cat admired that the customer wished that a priest believed that the baby liked that the bottle was given to a horse by the father .	cp_recursion	* fly ( 2 ) ; * cat ( 12 ) ; * customer ( 26 ) ; * priest ( 47 ) ; * baby ( 82 ) ; * bottle ( 91 ) ; * horse ( 98 ) ; * father ( 108 ) ; confess ( 1 ) AND agent ( 1 , 2 ) AND admire ( 11 ) AND agent ( 11 , 12 ) AND wish ( 25 ) AND agent ( 25 , 26 ) AND believe ( 46 ) AND agent ( 46 , 47 ) AND like ( 81 ) AND agent ( 81 , 82 ) AND give ( 90 ) AND agent ( 90 , 108 ) AND recipient ( 90
37	The bear admired that a bird liked that Emma liked that the child proved that Liam liked that Isabella liked that the dog said that Avery hoped that Leah proved that the boy liked that the girl tolerated that a cake froze .	cp_recursion	* bear ( 4 ) ; * bird ( 27 ) ; * Emma ( 10 ) ; * child ( 22 ) ; * Liam ( 15 ) ; * Isabella ( 18 ) ; * dog ( 25 ) ; * Avery ( 30 ) ; * Leah ( 34 ) ; * boy ( 37 ) ; * girl ( 42 ) ; * cake ( 47 ) ; admire ( 3 ) AND theme ( 3 , 27 ) AND agent ( 3 , 4 ) AND like ( 7 ) AND theme ( 7 , 27 ) AND recipient ( 7 , 10 ) AND like ( 13 ) AND theme ( 13 , 10 ) AND recipient (
38	Emma liked that Ella liked that Liam respected that Oliver noticed that a girl imagined that Bella meant that Ava said that a hero was awarded the cake on the truck in the crib in the room .	cp_recursion	* Emma ( 3 ) ; * Ella ( 9 ) ; * Liam ( 15 ) ; * Oliver ( 21 ) ; * girl ( 27 ) ; * Bella ( 33 ) ; * Ava ( 39 ) ; * hero ( 45 ) ; cake ( 57 ) ; truck ( 61 ) ; crib ( 65 ) ; room ( 69 ) ; like ( 6 ) AND theme ( 6 , 9 ) AND like ( 12 ) AND theme ( 12 , 15 ) AND respect ( 18 ) AND theme ( 18 , 21 ) AND notice ( 24 ) AND theme ( 24 , 27 ) AND imagine ( 30 ) AND theme ( 30
39	Levi liked that Emma declared that the girl wished that a lawyer liked that the turtle imagined that a monkey liked that Charlotte ate .	cp_recursion	* Levi ( 1 ) ; * Emma ( 4 ) ; * girl ( 17 ) ; * lawyer ( 28 ) ; * turtle ( 33 ) ; * monkey ( 38 ) ; * Charlotte ( 44 ) ; like ( 8 ) AND agent ( 8 , 1 ) AND theme ( 8 , 4 ) AND declare ( 10 ) AND agent ( 10 , 4 ) AND recipient ( 10 , 17 ) AND wish ( 14 ) AND agent ( 14 , 17 ) AND recipient ( 14 , 28 ) AND like ( 24 ) AND agent ( 24 , 28 ) AND recipient ( 24 , 33 ) AND imagine ( 30 )
40	Noah teleported a lollipop beside the box to a girl .	do_dative_to_pp_dative	Noah ( 1 ) ; lollipop ( 18 ) ; box ( 14 ) ; girl ( 26 ) ; teleport ( 7 ) AND agent ( 7 , 1 ) AND theme ( 7 , 18 ) AND recipient ( 7 , 26 ) AND location ( 7 , 14 )
41	The girl teleported the donut in the house to the cat .	do_dative_to_pp_dative	* girl ( 4 ) ; * donut in the house ( 12 ) ; * cat ( 22 ) ; teleport ( 33 ) AND agent ( 33 , 4 ) AND theme ( 33 , 12 ) AND recipient ( 33 , 22 )
42	Emma teleported a cake to a dog .	do_dative_to_pp_dative	* Emma ( 21 ) ; cake ( 28 ) ; dog ( 38 ) ; teleport ( 49 ) AND agent ( 49 , 21 ) AND theme ( 49 , 28 ) AND recipient ( 49 , 38 )
43	Olivia teleported a mandarin to the cat .	do_dative_to_pp_dative	Olivia ( 25 ) ; mandarin ( 38 ) ; cat ( 45 ) ; teleport ( 12 ) AND agent ( 12 , 25 ) AND theme ( 12 , 38 ) AND recipient ( 12 , 45 )
44	The cat teleported a crown on a table to Emma .	do_dative_to_pp_dative	*cat ( 4 ) ; *crown ( 14 ) ; *table ( 24 ) ; Emma ( 46 ) ; teleport ( 36 ) AND agent ( 36 , 4 ) AND theme ( 36 , 14 ) AND recipient ( 36 , 24 ) AND recipient ( 36 , 46 )
45	The child teleported the glue on a tree to Olivia .	do_dative_to_pp_dative	* child ( 4 ) ; glue ( 16 ) ; tree ( 22 ) ; Olivia ( 32 ) ; teleport ( 11 ) AND agent ( 11 , 4 ) AND theme ( 11 , 16 ) AND recipient ( 11 , 32 ) AND location ( 11 , 22 )
46	Joshua teleported the cookie beside the box to a girl .	do_dative_to_pp_dative	* Joshua ( 17 ) ; cookie ( 27 ) ; box ( 37 ) ; girl ( 47 ) ; teleport ( 22 ) AND agent ( 22 , 17 ) AND theme ( 22 , 27 ) AND recipient ( 22 , 47 ) AND beside ( 27 , 37 )
47	A monkey teleported the cake to Ava .	do_dative_to_pp_dative	* monkey ( 5 ) ; cake ( 11 ) ; Ava ( 22 ) ; teleport ( 17 ) AND agent ( 17 , 5 ) AND theme ( 17 , 11 ) AND recipient ( 17 , 22 )
48	The dog teleported a cookie on a table to Harper .	do_dative_to_pp_dative	* dog ( 4 ) ; * cookie ( 14 ) ; * table ( 23 ) ; Harper ( 34 ) ; teleport ( 50 ) AND agent ( 50 , 4 ) AND theme ( 50 , 14 ) AND recipient ( 50 , 23 ) AND recipient ( 50 , 34 )
49	Liam teleported the cookie in a car to a boy .	do_dative_to_pp_dative	* Liam ( 28 ) ; * cookie ( 12 ) ; * car ( 37 ) ; * boy ( 47 ) ; teleport ( 25 ) AND agent ( 25 , 28 ) AND theme ( 25 , 12 ) AND recipient ( 25 , 37 ) AND recipient ( 25 , 47 )
50	Liam teleported the box beside the stage to a tourist .	do_dative_to_pp_dative	* Liam ( 7 ) ; box ( 18 ) ; stage ( 34 ) ; tourist ( 43 ) ; teleport ( 28 ) AND agent ( 28 , 7 ) AND theme ( 28 , 18 ) AND recipient ( 28 , 43 ) AND beside ( 18 , 34 )
51	Sophia teleported the cake on a table to a girl .	do_dative_to_pp_dative	Sophia ( 5 ) ; cake ( 23 ) ; table ( 32 ) ; girl ( 45 ) ; teleport ( 17 ) AND agent ( 17 , 5 ) AND theme ( 17 , 23 ) AND recipient ( 17 , 45 ) AND theme ( 17 , 32 )
52	Julian teleported the cookie beside the table to a girl .	do_dative_to_pp_dative	* Julian ( 24 ) ; * cookie ( 28 ) ; table ( 36 ) ; girl ( 44 ) ; teleport ( 19 ) AND agent ( 19 , 24 ) AND theme ( 19 , 28 ) AND recipient ( 19 , 44 ) AND theme ( 19 , 36 )
53	Emma teleported the potato beside the stool to the girl .	do_dative_to_pp_dative	"Emma ( 10 ) ; potato ( 22 ) ; stool ( 32 ) ; girl ( 38 ) ;
teleport ( 18 ) AND agent ( 18 , 10 ) AND theme ( 18 , 22 ) AND recipient ( 18 , 38 ) ;
beside ( 26 ) AND theme ( 26 , 22 ) AND recipient ( 26 , 32 )"
54	The lawyer hoped that the tourist believed that Ava teleported the cake beside the table to the girl .	do_dative_to_pp_dative	* lawyer ( 4 ) ; * tourist ( 13 ) ; Ava ( 9 ) ; cake ( 36 ) ; table ( 48 ) ; * girl ( 51 ) ; teleport ( 26 ) AND agent ( 26 , 9 ) AND theme ( 26 , 36 ) AND recipient ( 26 , 48 ) AND recipient ( 38 , 9 ) AND theme ( 38 , 36 ) AND recipient ( 47 , 38 ) AND belief ( 16 , 13 , 38 ) AND hope ( 5 , 13 ) AND belief ( 16 , 4 , 16 )
55	Emma teleported the donut to Benjamin .	do_dative_to_pp_dative	Emma ( 8 ) ; donut ( 23 ) ; Benjamin ( 34 ) ; teleport ( 16 ) AND agent ( 16 , 8 ) AND theme ( 16 , 23 ) AND recipient ( 16 , 34 )
56	Luna teleported a cake to Sophia .	do_dative_to_pp_dative	Luna ( 4 ) ; cake ( 8 ) ; Sophia ( 12 ) ; teleport ( 17 ) AND agent ( 17 , 4 ) AND theme ( 17 , 8 ) AND recipient ( 17 , 12 )
57	The boy teleported a newspaper beside a road to the mouse .	do_dative_to_pp_dative	* boy ( 4 ) ; newspaper ( 24 ) ; road ( 33 ) ; * mouse ( 43 ) ; teleport ( 14 ) AND agent ( 14 , 4 ) AND theme ( 14 , 24 ) AND recipient ( 14 , 43 ) AND beside ( 24 , 33 )
58	Emma teleported the cake in a room to the boy .	do_dative_to_pp_dative	Emma ( 12 ) ; * cake ( 35 ) ; * room ( 41 ) ; * boy ( 48 ) ; teleport ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 35 ) AND recipient ( 27 , 48 ) AND theme ( 27 , 41 )
59	Liam teleported the raisin to a baby .	do_dative_to_pp_dative	Liam ( 31 ) ; raisin ( 14 ) ; baby ( 22 ) ; teleport ( 43 ) AND agent ( 43 , 31 ) AND theme ( 43 , 14 ) AND recipient ( 43, 22 )
